RAh,RAm,RAs,DEg,DEm,Des,Mag,Name
06,45, 8.9, -16,42,58, -1.46, AL CMA
06,23,57.2, -52,41,44, -0.72, AL CAR
14,15,39.6, +19,10,57, -0.04, AL BOO
14,39,36.2, -60,50,07, -0.01, AL1 CEN
18,36,56.2, +38,47,01,  0.03, AL LYR
05,16,41.3, +45,59,53,  0.08, AL AUR
05,14,32.2, -08,12,06,  0.12, BE ORI
07,39,18.1, +05,13,30,  0.38, AL CMI
01,37,42.9, -57,14,12,  0.46, AL ERI
05,55,10.3, +07,24,25, 0.50, AL ORI
14,03,49.4, -60,22,22, 0.61, BE CEN
19,50,46.9, +08,52,06, 0.77, AL AQL
04,35,55.2, +16,30,33, 0.85, AL TAU
16,29,24.4, -26,25,55, 0.96, AL SCO
13,25,11.5, -11,09,41, 0.98, AL VIR
07,45,18.9, +28,01,34, 1.14, BE GEM
22,57,39.0, -29,37,20, 1.16, AL PSA
12,47,43.3, -59,41,19, 1.25, BE CRU
20,41,25.8, +45,16,49, 1.25, AL CYG
14,39,36.2, -60,50,07, 1.33, AL2 CEN
10,08,22.3, +11,58,02, 1.35, AL LEO
06,58,37.5, -28,58,20, 1.50, EP CMA
07,34,35.9, +31,53,18, 1.58, AL GEM
12,26,35.9, -63,05,56, 1.58, AL1 CRU
07,34,35.9, +31,53,18, 1.59, AL GEM
12,31, 9.9, -57,06,47, 1.63, GA CRU
17,33,36.4, -37,06,13, 1.63, LA SCO
05,25, 7.8, +06,20,59, 1.64, GA ORI
05,26,17.5, +28,36,27, 1.65, BE TAU
09,13,12.1, -69,43,02, 1.68, BE CAR
05,36,12.7, -01,12,07, 1.70, EP ORI
22,08,13.9, -46,57,40, 1.74, AL GRU
12,54, 1.7, +55,57,35, 1.77, EP UMA
08,09,31.9, -47,20,12, 1.78, GA2 VEL
03,24,19.3, +49,51,41, 1.79, AL PER
11,03,43.6, +61,45,03, 1.79, AL UMA
07,08,23.4, -26,23,35, 1.84, DE CMA
18,24,10.3, -34,23,05, 1.85, EP SGR
08,22,30.8, -59,30,34, 1.86, EP CAR
13,47,32.3, +49,18,48, 1.86, ET UMA
17,37,19.0, -42,59,52, 1.87, TH SCO
05,59,31.7, +44,56,51, 1.90, BE AUR
16,48,39.9, -69,01,40, 1.92, AL TRA
06,37,42.7, +16,23,57, 1.93, GA GEM
20,25,38.8, -56,44,07, 1.94, AL PAV
08,44,42.2, -54,42,30, 1.96, DE VEL
06,22,41.9, -17,57,22, 1.98, BE CMA
09,27,35.2, -08,39,31, 1.98, AL HYA
02,07,10.3, +23,27,45, 2.00, AL ARI
02,31,50.5, +89,15,51, 2.02, AL UMI
18,55,15.8, -26,17,48, 2.02, SI SGR
00,43,35.3, -17,59,12, 2.04, BE CET
05,40,45.5, -01,56,34, 2.05, ZE ORI
00,08,23.2, +29,05,26, 2.06, AL AND
01,09,43.9, +35,37,14, 2.06, BE AND
05,47,45.3, -09,40,11, 2.06, KA ORI
14,06,40.8, -36,22,12, 2.06, TH CEN
14,50,42.2, +74,09,20, 2.08, BE UMI
17,34,56.0, +12,33,36, 2.08, AL OPH
12,26,36.5, -63,05,58, 2.09, AL2 CRU
22,42,40.0, -46,53,05, 2.10, BE GRU
03,08,10.1, +40,57,21, 2.12, BE PER
11,49, 3.5, +14,34,19, 2.14, BE LEO
12,41,30.9, -48,57,34, 2.17, GA CEN
20,22,13.6, +40,15,24, 2.20, GA CYG
09,07,59.7, -43,25,57, 2.21, LA VEL
00,40,30.4, +56,32,15, 2.23, AL CAS
05,32, 0.3, -00.001,17,57, 2.23, DE ORI
15,34,41.2, +26,42,53, 2.23, AL CRB
17,56,36.3, +51,29,20, 2.23, GA DRA
08,03,35.0, -40,00,11, 2.25, ZE PUP
09,17, 5.4, -59,16,31, 2.25, JO CAR
02,03,53.9, +42,19,47, 2.26, GA1 AND
00,09,10.6, +59,08,59, 2.27, BE CAS
13,23,55.5, +54,55,31, 2.27, ZE UMA
16,50, 9.7, -34,17,36, 2.29, EP SCO
13,39,53.2, -53,27,59, 2.30, EP CEN
14,41,55.7, -47,23,17, 2.30, AL LUP
14,35,30.3, -42,09,28, 2.31, ET CEN
16,00,19.9, -22,37,18, 2.32, DE SCO
11,01,50.4, +56,22,56, 2.37, BE UMA
